big5_openness,big5_conscientiousness,big5_extraversion,big5_agreeableness,big5_neuroticism,max_trait
0.5266808255725408,0.85121544203933,0.431858007717562,0.9164615084904904,0.9715535815763532,0
0.2713759187826197,0.639525679652127,0.3919121843067217,0.7723047254411164,0.9451417049359991,0
0.7769830752728288,0.7896044934588473,0.85869408831672,0.9881644906431961,0.8955405826900422,3
0.18339135298561443,0.11964831669820775,0.5022656167865905,0.24746299495747248,0.8488159757884786,3
0.5852090582382109,0.22693536821345828,0.12429150684211371,0.04882340705400362,0.9398648841362773,0
0.6073882212215301,0.2340433109976831,0.12001182115552006,0.7379290148644451,0.9544153605999088,0
0.8323041573553887,0.8459445655064881,0.9934500907292656,0.9807274298719579,0.5727586613380837,3
0.6995117203126358,0.4047428069710632,0.41083116609542697,0.5406295325988645,0.9832452573809758,3
0.8220216616479681,0.6687243744495489,0.9644332009615726,0.9128997695903112,0.6098442948221727,0
0.8659274598422992,0.494868358270126,0.8013757380537422,0.9906716706780685,0.7114658103444624,3
0.2867945555943542,0.8738988378695562,0.06747314824343753,0.9053147869645377,0.13373035860119709,0
0.7844493757034043,0.6098137467241598,0.5050662538503101,0.9875763522197847,0.9170737212043115,3
0.7263106845320891,0.19122608913396555,0.20879508443644668,0.6192050793825743,0.9399682190352036,0
0.41149079315504106,0.14580329422321053,0.20173907815970432,0.13124677390356781,0.29828612736074195,0
0.6790970228301851,0.3987051119088316,0.15026078639292684,0.8430908253661488,0.9562623629538454,3
0.554875414433228,0.5355212305469887,0.14359052013453033,0.794260505925432,0.30763392587190064,0
0.058424268504123855,0.2484489150534398,0.5120966398442897,0.2453759951138048,0.09961489689376829,0
0.8659274598422992,0.494868358270126,0.8013757380537422,0.9906716706780685,0.7114658103444624,3
0.40640668654956175,0.7530640092483983,0.5695711538200195,0.9679069613109335,0.2408734861017967,0
0.8318560340713805,0.739983628597148,0.5580207453314949,0.9660600853566186,0.3267369747797484,0
0.256632675099949,0.7940662032193905,0.04796746461937684,0.9466655392794269,0.010792752177189557,0
0.8915656802811263,0.31320102210043965,0.21257888979001777,0.35340261699252984,0.5207147986563706,0
